"Date","Price","Open","High","Low","Vol.","Change %"
"27-03-2026","1,337.80","1,375.00","1,375.00","1,330.10","2.67M","-2.77%"
"25-03-2026","1,375.90","1,359.70","1,392.70","1,354.80","1.86M","2.36%"
"24-03-2026","1,344.20","1,343.00","1,361.00","1,313.60","3.13M","3.11%"
"23-03-2026","1,303.60","1,350.00","1,350.00","1,293.50","3.36M","-4.53%"
"20-03-2026","1,365.40","1,364.90","1,393.50","1,358.00","4.21M","0.69%"
"19-03-2026","1,356.00","1,377.00","1,379.60","1,350.50","2.16M","-3.27%"
"18-03-2026","1,401.90","1,367.10","1,411.10","1,367.10","1.96M","2.67%"
"17-03-2026","1,365.50","1,379.00","1,379.00","1,351.20","2.61M","-0.61%"
"16-03-2026","1,373.90","1,356.60","1,383.10","1,347.00","3.32M","0.78%"
"13-03-2026","1,363.20","1,388.70","1,390.00","1,354.00","2.69M","-2.03%"
"12-03-2026","1,391.50","1,402.50","1,418.60","1,375.30","2.70M","-1.37%"
"11-03-2026","1,410.80","1,425.00","1,454.90","1,405.70","2.21M","-0.93%"
"10-03-2026","1,424.10","1,450.00","1,470.30","1,416.50","2.71M","0.20%"
"09-03-2026","1,421.30","1,405.00","1,436.10","1,405.00","4.87M","-3.80%"
"06-03-2026","1,477.50","1,489.00","1,497.80","1,470.00","2.58M","-1.45%"
"05-03-2026","1,499.30","1,447.20","1,505.50","1,447.20","3.24M","4.52%"
"04-03-2026","1,434.40","1,435.00","1,450.50","1,409.00","3.39M","-2.44%"
"02-03-2026","1,470.30","1,462.00","1,497.30","1,430.00","4.21M","-3.33%"
"27-02-2026","1,521.00","1,545.00","1,545.10","1,516.20","1.60M","-1.91%"
"26-02-2026","1,550.60","1,537.60","1,554.60","1,526.00","1.35M","1.43%"
"25-02-2026","1,528.70","1,567.00","1,584.00","1,518.50","2.15M","-1.72%"
"24-02-2026","1,555.40","1,553.70","1,564.00","1,536.40","1.36M","-0.03%"
"23-02-2026","1,555.80","1,511.00","1,564.50","1,510.80","3.11M","2.93%"
